Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1864;144808;"WSEAS Transactions on Information Science and Applications";journal;"17900832, 22243402";"World Scientific and Engineering Academy and Society";No;No;0,197;Q4;22;52;101;1533;90;101;0,98;29,48;44,81;0;16;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2005-2014, 2019, 2021-2025";"Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
1865;27686;"Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University";journal;"10012400";"Science Press";No;No;0,197;Q4;19;112;416;2963;335;416;0,85;26,46;38,04;0;3;China;Asiatic Region;"Science Press";"2001-2024";"Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1866;21100216911;"International Conference Recent Advances in Natural Language Processing, RANLP";conference and proceedings;"13138502";"Association for Computational Linguistics (ACL)";No;No;0,197;-;39;0;369;0;472;361;0,95;0,00;0,00;0;0;United States;Northern America;"Association for Computational Linguistics (ACL)";"2005-2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023";"Artificial Intelligence; Computer Science Applications; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
1867;145296;"Proceedings - Asia-Pacific Software Engineering Conference, APSEC";conference and proceedings;"15301362";"IEEE Computer Society";No;No;0,197;-;41;0;263;0;208;255;0,73;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"1994, 1996, 2000, 2002-2023";"Engineering (miscellaneous); Software";"Computer Science; Engineering"
1868;21100337901;"IEEE Electromagnetic Compatibility Magazine";trade journal;"21622264, 21622272";"IEEE Electromagnetic Compatibility Society";No;No;0,196;Q4;23;25;161;369;82;145;0,48;14,76;14,52;0;3;United States;Northern America;"IEEE Electromagnetic Compatibility Society";"2012-2024";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Instrumentation (Q4); Signal Processing (Q4); Software (Q4)";"Computer Science; Engineering; Physics and Astronomy"
1869;11700154323;"Image Analysis and Stereology";journal;"15803139, 18545165";"International Society for Stereology";Yes;No;0,196;Q4;31;18;49;570;58;49;1,38;31,67;28,95;0;1;Slovenia;Eastern Europe;"International Society for Stereology";"2000-2024";"Acoustics and Ultrasonics (Q4); Biotechnology (Q4); Computer Vision and Pattern Recognition (Q4); Instrumentation (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Radiology, Nuclear Medicine and Imaging (Q4); Signal Processing (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Materials Science; Mathematics; Medicine; Physics and Astronomy"
1870;21100836264;"International Journal of Computer Networks and Communications";journal;"09752293, 09749322";"Academy and Industry Research Collaboration Center (AIRCC)";No;No;0,196;Q4;16;46;135;1445;139;135;1,07;31,41;28,24;0;12;India;Asiatic Region;"Academy and Industry Research Collaboration Center (AIRCC)";"2016-2024";"Computer Networks and Communications (Q4); Hardware and Architecture (Q4)";"Computer Science"
1871;21101033322;"International Journal on Informatics Visualization";journal;"25499904";"Politeknik Negeri Padang";Yes;Yes;0,196;Q4;18;287;405;12427;697;405;1,73;43,30;36,23;0;99;Indonesia;Asiatic Region;"Politeknik Negeri Padang";"2017-2024";"Information Systems and Management (Q3); Computer Science (miscellaneous) (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences"
1872;21100948917;"Journal of Computational Technologies";journal;"2313691X, 15607534";"Institute of Computational Technologies SB RAS";No;No;0,196;Q4;5;41;141;948;44;141;0,36;23,12;24,72;0;5;Russian Federation;Eastern Europe;"Institute of Computational Technologies SB RAS";"2019-2024";"Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Numerical Analysis (Q4); Software (Q4)";"Computer Science; Mathematics"
1873;24802;"Neural Network World";journal;"23364335, 12100552";"Czech Technical University in Prague";No;No;0,196;Q4;30;0;67;0;74;67;1,09;0,00;0,00;0;0;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2023";"Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4)";"Computer Science; Neuroscience"
1874;21100948914;"EPiC Series in Computing";conference and proceedings;"23987340";"EasyChair";No;No;0,196;-;16;129;352;3000;211;331;0,70;23,26;25,95;0;16;United Kingdom;Western Europe;"EasyChair";"2018-2025";"Computer Science (miscellaneous)";"Computer Science"
1875;21101107935;"International Conference on Enterprise Information Systems, ICEIS - Proceedings";conference and proceedings;"21844992";"Science and Technology Publications, Lda";No;No;0,196;-;10;188;488;5188;355;480;0,71;27,60;25,05;0;33;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
1876;21100198457;"ACM Communications in Computer Algebra";journal;"19322232, 19322240";"Association for Computing Machinery (ACM)";No;No;0,195;Q4;13;2;46;102;27;46;0,15;51,00;16,67;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"2011-2021, 2023-2025";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Mathematics"
1877;12100157172;"International Journal of Embedded Systems";journal;"17411076, 17411068";"Inderscience Enterprises Ltd";No;No;0,195;Q4;20;24;146;690;168;146;1,23;28,75;33,96;0;7;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2010, 2013-2024";"Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
1878;21101038526;"Journal of Applied Mathematics and Informatics";journal;"27341194, 22348417";"Korean Society for Computational and Applied Mathematics";No;No;0,195;Q4;8;106;258;2302;130;258;0,53;21,72;29,03;0;3;South Korea;Asiatic Region;"Korean Society for Computational and Applied Mathematics";"2019-2025";"Analysis (Q4); Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1879;21100830763;"Journal of Information Science Theory and Practice";journal;"22879099, 22874577";"Korea Institute of Science and Technology Information";Yes;Yes;0,195;Q4;9;24;87;1116;72;87;0,83;46,50;48,08;0;7;South Korea;Asiatic Region;"Korea Institute of Science and Technology Information";"2017-2024";"Library and Information Sciences (Q3); Information Systems (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Social Sciences"
1880;21101264437;"National Journal of Antennas and Propagation";journal;"25822659";"Society for Communication and Computer Technologies";No;No;0,194;Q4;7;34;36;799;62;36;1,25;23,50;34,09;0;5;India;Asiatic Region;"Society for Communication and Computer Technologies";"2020-2024";"Engineering (miscellaneous) (Q3); Electrical and Electronic Engineering (Q4); Information Systems (Q4)";"Computer Science; Engineering"
1881;21100239654;"Brazilian Symposium on Computing System Engineering, SBESC";conference and proceedings;"23247886, 23247894";"IEEE Computer Society";No;No;0,194;-;11;33;79;699;58;73;0,81;21,18;8,43;0;15;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computer Networks and Communications; Software";"Computer Science"
1882;21100802691;"Proceedings of the International ISCRAM Conference";conference and proceedings;"24113387";"Information Systems for Crisis Response and Management, ISCRAM";No;No;0,194;-;21;91;282;2927;169;277;0,58;32,16;34,13;0;34;Belgium;Western Europe;"Information Systems for Crisis Response and Management, ISCRAM";"2010-2011, 2013-2014, 2016-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Hardware and Architecture; Information Systems; Information Systems and Management; Signal Processing";"Computer Science; Decision Sciences; Engineering"
1883;19700186844;"International Journal of Mobile Computing and Multimedia Communications";journal;"19379412, 19379404";"IGI Global Publishing";No;No;0,193;Q4;13;7;37;203;45;37;1,43;29,00;38,46;0;1;United States;Northern America;"IGI Global Publishing";"2009-2014, 2016-2024";"Computer Networks and Communications (Q4)";"Computer Science"
1884;21101088441;"Review of Computer Engineering Research";journal;"24124281, 24109142";"Conscientia Beam";No;No;0,193;Q4;7;12;41;394;60;41;1,64;32,83;31,43;0;5;United States;Northern America;"Conscientia Beam";"2019-2024";"Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4)";"Computer Science; Engineering"
1885;21100197335;"IEEE Workshop on Local and Metropolitan Area Networks";conference and proceedings;"19440375, 19440367";"IEEE Computer Society";No;No;0,193;-;20;24;56;355;38;47;0,71;14,79;18,33;0;4;United States;Northern America;"IEEE Computer Society";"1993, 1999, 2011, 2013, 2015-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology; Software";"Computer Science; Engineering"
1886;25021;"IEEE Annals of the History of Computing";journal;"10586180";"IEEE Computer Society";No;No;0,192;Q4;29;47;125;1139;62;105;0,54;24,23;24,39;0;10;United States;Northern America;"IEEE Computer Society";"1992-2025";"History and Philosophy of Science (Q3); Computer Science (miscellaneous) (Q4)";"Arts and Humanities; Computer Science"
1887;21101133424;"Ingenius";journal;"1390860X, 1390650X";"Universidad Politecnica Salesiana";Yes;Yes;0,192;Q4;7;22;66;637;51;60;0,95;28,95;10,00;0;7;Ecuador;Latin America;"Universidad Politecnica Salesiana";"2019-2025";"Engineering (miscellaneous) (Q3); Aerospace Engineering (Q4); Automotive Engineering (Q4); Biomedical Engineering (Q4); Civil and Structural Engineering (Q4); Computational Mechanics (Q4); Computer Science (miscellaneous) (Q4)";"Computer Science; Engineering"
1888;21100925895;"Vestnik Tomskogo Gosudarstvennogo Universiteta - Upravlenie, Vychislitel'naya Tekhnika i Informatika";journal;"23112085, 19988605";"Tomsk State University";Yes;No;0,192;Q4;3;25;153;439;25;153;0,17;17,56;36,36;0;1;Russian Federation;Eastern Europe;"Tomsk State University";"2019-2024";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
1889;21100297817;"International Symposium on Image and Signal Processing and Analysis, ISPA";conference and proceedings;"18455921, 18492266";"IEEE Computer Society";No;No;0,192;-;25;0;94;0;71;90;0,53;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2000-2001, 2003, 2013, 2017, 2019, 2021, 2023";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Signal Processing";"Computer Science"
1890;21101093016;"Chinese Journal of Intelligent Science and Technology";journal;"20966652";"Beijing Xintong Media Co., Ltd.";Yes;Yes;0,191;Q4;14;26;160;1222;172;157;1,06;47,00;39,33;0;7;China;Asiatic Region;"Beijing Xintong Media Co., Ltd.";"2019-2024";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4)";"Computer Science"
1891;21100899864;"ECTI Transactions on Computer and Information Technology";journal;"22869131";"ECTI Association Sirindhon International Institute of Technology";Yes;Yes;0,191;Q4;8;50;118;1628;134;118;0,99;32,56;28,26;0;9;Thailand;Asiatic Region;"ECTI Association Sirindhon International Institute of Technology";"2018-2025";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4); Information Systems (Q4); Information Systems and Management (Q4)";"Computer Science; Decision Sciences; Engineering"
1892;21100944556;"Journal of the Acoustical Society of Korea";journal;"12254428, 22873775";"Acoustical Society of Korea";No;No;0,191;Q4;6;70;233;1135;66;233;0,32;16,21;24,34;0;3;South Korea;Asiatic Region;"Acoustical Society of Korea";"2019-2024";"Acoustics and Ultrasonics (Q4); Applied Mathematics (Q4); Instrumentation (Q4); Signal Processing (Q4); Speech and Hearing (Q4)";"Computer Science; Health Professions; Mathematics; Physics and Astronomy"
1893;21100781706;"South African Computer Journal";journal;"10157999, 23137835";"South African Institute of Computer Scientists and Information Technologists";Yes;No;0,191;Q4;12;15;54;714;67;46;1,24;47,60;45,45;0;2;South Africa;Africa;"South African Institute of Computer Scientists and Information Technologists";"2016-2024";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Education (Q4); Human-Computer Interaction (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
1894;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,191;-;164;0;24427;0;20381;23324;1,14;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1993, 1996-1997, 1999-2023";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
1895;21100317406;"Advances in Knowledge Organization";conference and proceedings;"09385495";"Nomos Verlagsgesellschaft mbH und Co KG";No;No;0,191;-;10;47;44;712;14;40;0,32;15,15;43,14;0;8;Germany;Western Europe;"Nomos Verlagsgesellschaft mbH und Co KG";"2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024";"Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
1896;21101056542;"International Journal of Operations Research and Information Systems";journal;"19479328, 19479336";"IGI Global Publishing";No;No;0,190;Q4;8;0;12;0;28;12;2,50;0,00;0,00;0;0;United States;Northern America;"IGI Global Publishing";"2019-2023";"Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1897;21100229111;"Journal of Telecommunications and Information Technology";journal;"15094553, 18998852";"National Institute of Telecommunications";Yes;Yes;0,190;Q4;17;49;138;1300;143;136;1,22;26,53;18,26;0;6;Poland;Eastern Europe;"National Institute of Telecommunications";"2012-2024";"Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4)";"Computer Science; Engineering"
1898;21101000293;"Mekhatronika, Avtomatizatsiya, Upravlenie";journal;"16846427, 26191253";"New Technologies Publishing House";No;No;0,190;Q4;6;69;219;1473;97;219;0,50;21,35;16,42;0;13;Russian Federation;Eastern Europe;"New Technologies Publishing House";"2019-2025";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Engineering"
1899;21101047185;"IEEE Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)";conference and proceedings;"26896621";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,190;-;13;366;799;4769;589;796;0,56;13,03;34,14;0;73;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2022, 2024";"Applied Mathematics; Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Electrical and Electronic Engineering; Information Systems";"Computer Science; Engineering; Mathematics"
1900;21101194368;"International Conference on Agents and Artificial Intelligence";conference and proceedings;"2184433X, 21843589";"Science and Technology Publications, Lda";No;No;0,190;-;7;282;479;7119;302;471;0,63;25,24;26,38;0;33;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Artificial Intelligence";"Computer Science"
1901;21100198435;"Proceedings of Technical Papers - International Microsystems, Packaging, Assembly, and Circuits Technology Conference, IMPACT";conference and proceedings;"21505942, 21505934";"IEEE Computer Society";No;No;0,190;-;13;104;218;738;66;200;0,30;7,10;25,14;0;11;United States;Northern America;"IEEE Computer Society";"2011-2013, 2016-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
1902;25533;"Proceedings of the Information Visualization Conference";conference and proceedings;"10939547";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,190;-;47;59;195;1420;170;189;0,88;24,07;31,13;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995-1997, 1999-2016, 2019-2024";"Computer Vision and Pattern Recognition; Signal Processing; Software";"Computer Science"
1903;24906;"Automatic Control and Computer Sciences";journal;"1558108X, 01464116";"Pleiades Publishing";No;No;0,189;Q4;24;91;347;2106;253;347;0,62;23,14;33,52;0;14;United States;Northern America;"Pleiades Publishing";"1973-2024";"Control and Systems Engineering (Q4); Signal Processing (Q4); Software (Q4)";"Computer Science; Engineering"
1904;21101061447;"International Journal of Reconfigurable and Embedded Systems";journal;"20894864, 27222608";"Institute of Advanced Engineering and Science";No;No;0,189;Q4;9;84;108;2504;148;108;1,57;29,81;34,00;0;26;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science";"2019-2025";"Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4); Logic (Q4)";"Computer Science; Engineering; Mathematics"
1905;21101029604;"Journal of Robotics, Networking and Artificial Life";journal;"23526386, 24059021";"ALife Robotics Corporation Ltd";Yes;No;0,189;Q4;8;15;180;145;91;180;0,47;9,67;18,18;0;4;Japan;Asiatic Region;"ALife Robotics Corporation Ltd";"2019-2024";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4)";"Computer Science"
1906;21101192894;"Journal of Studies in Science and Engineering";journal;"2789634X";"EngiScience Publisher";Yes;No;0,189;Q4;5;22;45;817;42;45;0,91;37,14;28,89;0;15;Iraq;Middle East;"EngiScience Publisher";"2021-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Architecture (Q3); Engineering (miscellaneous) (Q3); Civil and Structural Engineering (Q4); Computer Science (miscellaneous) (Q4); Environmental Engineering (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Computer Science; Engineering; Environmental Science; Materials Science; Mathematics"
1907;4900152708;"Studies in Computational Intelligence";book series;"18609503, 1860949X";"Springer Verlag";No;No;0,189;Q4;94;1149;4760;32990;5018;1559;0,93;28,71;28,56;1;276;Germany;Western Europe;"Springer Verlag";"2006-2025";"Artificial Intelligence (Q4)";"Computer Science"
1908;21100903487;"Proceedings - International Conference on Computational Intelligence and Networks";conference and proceedings;"23755822";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,189;-;7;0;33;0;42;29;1,27;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016, 2022";"Artificial Intelligence; Computer Networks and Communications";"Computer Science"
1909;26076;"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences";journal;"17451337, 09168508";"Maruzen Co., Ltd/Maruzen Kabushikikaisha";No;No;0,188;Q3;57;210;627;4667;337;593;0,52;22,22;22,77;0;7;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2025";"Computer Graphics and Computer-Aided Design (Q3); Applied Mathematics (Q4); Electrical and Electronic Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering; Mathematics"
1910;18300156736;"Acta Scientiarum - Technology";journal;"18078664, 18062563";"Universidade Estadual de Maringa";Yes;Yes;0,188;Q4;25;39;172;1224;143;171;0,74;31,38;30,15;0;17;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2025";"Chemistry (miscellaneous) (Q4); Computer Science (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Chemistry; Computer Science; Earth and Planetary Sciences; Engineering; Mathematics; Physics and Astronomy"
1911;16040;"Dongbei Daxue Xuebao/Journal of Northeastern University";journal;"10053026";"Northeast University";No;No;0,188;Q4;22;202;708;4095;446;708;0,57;20,27;33,49;0;25;China;Asiatic Region;"Northeast University";"1998-2024";"Applied Mathematics (Q4); Computer Science Applications (Q4); Engineering (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics"
1912;21100855995;"International Journal of Cloud Computing";journal;"20439997, 20439989";"Inderscience Enterprises Ltd";No;No;0,188;Q4;11;27;119;1085;126;118;0,68;40,19;28,85;0;7;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2017-2024";"Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4); Software (Q4)";"Computer Science"
1913;4500151542;"International Journal of Intelligent Information Technologies";journal;"15483665, 15483657";"IGI Publishing";No;No;0,188;Q4;21;15;59;600;64;59;1,05;40,00;48,57;0;3;United States;Northern America;"IGI Publishing";"2005-2025";"Decision Sciences (miscellaneous) (Q4); Information Systems (Q4)";"Computer Science; Decision Sciences"
1914;21100198533;"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA";conference and proceedings;"21615330, 21615322";"IEEE Computer Society";No;No;0,188;-;31;0;253;0;184;244;0,65;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2001, 2011, 2013-2023";"Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture; Signal Processing";"Computer Science; Engineering"
1915;21100274216;"Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS";conference and proceedings;"23270586, 23270594";"IEEE Computer Society";No;No;0,188;-;33;36;199;576;148;193;0,66;16,00;30,43;0;5;United States;Northern America;"IEEE Computer Society";"2013-2024";"Software";"Computer Science"
1916;21100448964;"Chinese Journal of Liquid Crystals and Displays";journal;"10072780";"Science Press";No;No;0,187;Q4;14;160;502;5245;406;502;0,87;32,78;37,62;0;6;China;Asiatic Region;"Science Press";"2015-2025";"Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4); Signal Processing (Q4)";"Computer Science; Materials Science; Physics and Astronomy"
1917;21101039156;"Encontros Bibli";journal;"15182924";"Universidade Federal de Santa Catarina";Yes;Yes;0,187;Q4;9;14;155;462;45;154;0,24;33,00;46,88;0;6;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2025";"Library and Information Sciences (Q3); Information Systems (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1918;6000195384;"GIS-Zeitschrift fur Geoinformatik";journal;"26984571, 18699391";"Wichmann, VDE";No;No;0,187;Q4;6;19;38;392;7;23;0,19;20,63;15,00;0;5;Germany;Western Europe;"Wichmann, VDE";"2006-2009, 2011-2024";"Geography, Planning and Development (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
1919;17700155710;"International Journal of Computational Materials Science and Surface Engineering";journal;"17533465, 17533473";"Inderscience Enterprises Ltd";No;No;0,187;Q4;14;5;30;147;28;30;0,77;29,40;27,27;0;1;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007, 2009-2024";"Computer Science Applications (Q4); Engineering (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Modeling and Simulation (Q4)";"Computer Science; Engineering; Materials Science; Mathematics"
1920;101377;"Journal of Imaging Science and Technology";journal;"19433522, 10623701";"Society for Imaging Science and Technology";No;No;0,187;Q4;45;68;205;2216;127;189;0,61;32,59;34,38;0;11;United States;Northern America;"Society for Imaging Science and Technology";"1993-2024";"Atomic and Molecular Physics, and Optics (Q4); Chemistry (miscellaneous) (Q4); Computer Science Applications (Q4); Electronic, Optical and Magnetic Materials (Q4)";"Chemistry; Computer Science; Materials Science; Physics and Astronomy"
1921;21100800099;"International Conference on Virtual Rehabilitation, ICVR";conference and proceedings;"23319569";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,187;-;13;0;132;0;122;128;0,67;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015, 2017, 2019, 2021-2022";"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Tourism, Leisure and Hospitality Management";"Business, Management and Accounting; Computer Science; Engineering"
1922;21101198489;"Proceedings - International Conference on Advanced Computer Information Technologies, ACIT";conference and proceedings;"27705218, 27705226";"Institute of Electrical and Electronics Engineers";No;No;0,187;-;15;176;443;3687;406;433;0,83;20,95;36,84;0;56;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2019-2024";"Artificial Intelligence; Computational Mathematics; Computer Networks and Communications; Computer Science Applications; Information Systems; Information Systems and Management; Modeling and Simulation";"Computer Science; Decision Sciences; Mathematics"
1923;21101238418;"InfoDesign";journal;"18085377";"Sociedade Brasileira de Design da Informacao";Yes;Yes;0,186;Q3;2;28;86;669;12;77;0,16;23,89;60,00;0;12;Brazil;Latin America;"Sociedade Brasileira de Design da Informacao";"2021-2024";"Arts and Humanities (miscellaneous) (Q2); Communication (Q3); Computer Graphics and Computer-Aided Design (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1924;21101044727;"Informatics and Automation";journal;"27133206, 27133192";"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";Yes;Yes;0,186;Q4;14;64;142;2394;121;142;0,90;37,41;23,77;0;8;Russian Federation;Eastern Europe;"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";"2020-2025";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Information Systems (Q4)";"Computer Science; Mathematics"
1925;11900154400;"International Journal of Information Technology and Web Engineering";journal;"15541053, 15541045";"IGI Publishing";No;No;0,186;Q4;18;11;70;284;201;70;3,09;25,82;55,00;0;6;United States;Northern America;"IGI Publishing";"2006-2024";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1926;20300195011;"International Conference on Systems, Signals, and Image Processing";conference and proceedings;"21578702, 21578672";"IEEE Computer Society";No;No;0,186;-;23;21;151;481;115;147;0,76;22,90;20,69;0;3;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Networks and Communications; Signal Processing; Software";"Computer Science"
1927;21100826268;"Computer Science";journal;"23007036, 15082806";"AGH University of Science and Technology";Yes;Yes;0,185;Q3;11;23;72;1094;54;72;0,83;47,57;23,44;0;3;Poland;Eastern Europe;"AGH University of Science and Technology";"2017-2024";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1928;19700186872;"International Journal of Cognitive Informatics and Natural Intelligence";journal;"15573958, 15573966";"IGI Global Publishing";No;No;0,185;Q4;28;31;102;875;91;102;1,08;28,23;46,58;0;7;United States;Northern America;"IGI Global Publishing";"2007-2025";"Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science"
1929;32853;"Journal of Information Processing";journal;"18826652";"Information Processing Society of Japan";No;No;0,185;Q4;26;115;273;3198;183;238;0,61;27,81;17,82;0;15;Japan;Asiatic Region;"Information Processing Society of Japan";"1979-1992, 2008-2025";"Computer Science (miscellaneous) (Q4)";"Computer Science"
1930;21101151576;"Passer Journal of Basic and Applied Sciences";journal;"27065944, 27065952";"University of Garmian";Yes;No;0,185;Q4;6;97;120;2995;116;120;0,95;30,88;25,57;0;37;Iraq;Middle East;"University of Garmian";"2019-2025";"Computer Science (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Genetics (clinical) (Q4); Microbiology (Q4); Molecular Biology (Q4); Parasitology (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Immunology and Microbiology; Medicine"
1931;19700183008;"TripleC";journal;"1726670X";"Media Systems and Media Organisation Research Group";Yes;Yes;0,185;Q4;34;35;38;1867;45;38;1,24;53,34;31,37;1;11;Austria;Western Europe;"Media Systems and Media Organisation Research Group";"2010-2025";"Communication (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1932;21101111525;"International Conference on Harbour, Maritime and Multimodal Logistics Modelling and Simulation";conference and proceedings;"27240339";"I3M Conference";No;No;0,185;-;4;14;33;246;14;30;0,38;17,57;40,43;0;6;Spain;Western Europe;"I3M Conference";"2019-2024";"Business and International Management; Computer Science Applications; Management Science and Operations Research; Strategy and Management; Transportation";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
